waktu,nilai
2026-04-30 19:45,2.23
2026-04-30 20:30,2.26
2026-04-30 21:15,2.19
2026-04-30 23:45,2.05
2026-05-01 01:00,2.04
2026-05-01 01:15,2.01
2026-05-01 01:30,1.97
2026-05-01 01:45,1.89
2026-05-01 02:00,1.92
2026-05-01 02:15,1.88
2026-05-01 02:30,1.85
2026-05-01 02:45,1.83
2026-05-01 03:00,1.82
2026-05-01 03:15,1.82
2026-05-01 03:30,1.8
2026-05-01 03:45,1.78
2026-05-01 04:00,1.72
2026-05-01 04:15,1.7
2026-05-01 04:30,1.66
2026-05-01 04:45,1.62
2026-05-01 05:00,1.6
2026-05-01 05:15,1.61
2026-05-01 05:30,1.58
2026-05-01 05:45,1.59
2026-05-01 06:00,1.56
2026-05-01 06:15,1.54
2026-05-01 06:30,1.52
2026-05-01 06:45,1.48
2026-05-01 07:00,1.55
2026-05-01 07:15,1.5
2026-05-01 07:30,1.5
2026-05-01 07:45,1.56
2026-05-01 08:00,1.56
2026-05-01 08:15,1.56
2026-05-01 08:30,1.54
2026-05-01 08:45,1.54
2026-05-01 09:00,1.5
2026-05-01 09:15,1.59
2026-05-01 09:30,1.58
2026-05-01 09:45,1.54
2026-05-01 10:00,1.59
2026-05-01 10:30,1.58
2026-05-01 10:45,1.62
2026-05-01 11:45,0.11
4/29/2026 14:00,1.81
4/29/2026 15:11,1.81
4/29/2026 15:13,1.8
4/29/2026 15:15,1.8
4/29/2026 15:17,1.8
4/29/2026 15:18,1.8
4/29/2026 15:20,1.8
4/29/2026 15:21,1.8
4/29/2026 15:23,1.8
4/29/2026 15:24,1.8
4/29/2026 15:25,1.8
4/29/2026 15:26,1.8
4/29/2026 15:27,1.8
4/29/2026 15:30,1.8
4/29/2026 15:32,1.8
4/29/2026 15:37,1.8
4/29/2026 15:45,1.8
4/29/2026 15:47,1.8
4/29/2026 15:50,1.8
4/29/2026 15:58,1.8
4/29/2026 15:59,1.8
4/29/2026 16:00,1.8
4/29/2026 16:09,1.8
4/29/2026 16:11,1.8
4/29/2026 16:15,1.8
4/29/2026 16:17,1.8
4/29/2026 16:20,1.8
4/29/2026 16:30,1.87
4/29/2026 16:40,1.87
4/29/2026 16:45,1.87
4/29/2026 16:50,1.87
4/29/2026 17:00,1.87
4/29/2026 17:04,1.87
4/29/2026 17:05,1.87
4/29/2026 17:13,1.87
4/29/2026 17:17,1.87
4/29/2026 17:18,1.87
4/29/2026 17:19,1.87
4/29/2026 17:30,1.87
4/29/2026 19:00,2.06
4/29/2026 21:00,2.3
4/29/2026 22:00,2.28
4/30/2026 13:00,1.83
4/30/2026 13:15,1.83
4/30/2026 13:30,1.77
4/30/2026 16:00,1.95
4/30/2026 1:00,2.07
